09:15:15:200, b
09:15:15:400, j
09:15:38:000, b
09:15:38:300, j
09:16:28:000, k
09:16:45:300, j
09:17:36:500, k
09:17:50:000, j
09:19:42:900, k
09:19:47:100, k
09:19:50:200, k
09:21:17:500, j
09:21:26:700, j
09:22:01:800, b
09:22:02:300, j
09:23:43:900, k
09:23:56:500, b
09:23:57:000, k
09:25:15:000, k
09:26:52:600, k
09:26:54:800, j
09:28:09:400, k
09:28:18:000, k
09:29:08:700, j
09:29:39:000, k
09:29:43:600, j
09:30:57:700, k
09:31:05:800, j
09:31:07:800, j
09:31:21:200, k
09:31:25:500, k
09:34:15:700, k
09:34:18:700, k
09:34:20:700, k
09:35:10:700, k
09:35:14:800, j
09:37:36:200, j
09:38:28:200, j
09:39:19:100, j
09:40:46:100, k
09:40:51:100, b
09:40:51:600, k
09:40:54:300, j
09:41:05:100, j
09:41:52:700, b
09:41:53:200, k
09:43:00:300, j
09:45:41:000, j
09:45:48:600, b
09:45:49:000, j
09:45:51:300, b
09:45:51:600, j
09:46:07:600, b
09:46:08:100, k
09:46:13:300, b
09:46:13:900, j
09:46:51:300, k
09:46:58:100, k
09:47:23:000, k
09:47:27:500, k
09:48:18:800, k
09:48:23:700, k
09:48:29:500, k
09:48:52:600, k
09:48:59:500, t
09:49:19:900, j
09:50:01:500, j
09:51:03:800, b
09:51:04:300, l
09:51:49:400, j
09:52:24:000, k
09:53:38:600, j
09:55:24:200, j
09:55:26:300, j
09:55:28:400, j
09:56:36:300, k
09:56:46:100, k
09:57:34:800, j
09:57:46:900, k
09:58:29:000, k
09:58:40:100, k
09:58:47:500, k
10:00:41:600, k
10:01:09:500, k
10:01:15:100, j
10:02:18:600, k
10:03:29:900, j
10:05:28:100, l
10:05:47:300, k
10:05:53:200, j
10:06:04:700, k
10:06:55:300, k
10:08:46:500, j
10:09:29:000, k
10:11:35:400, j
10:11:50:400, b
10:11:50:900, k
10:17:21:100, j
10:17:26:200, j
10:17:41:700, k
10:18:05:200, j
10:18:06:800, k
10:18:49:300, k
10:22:27:800, j
10:22:29:200, j
10:22:30:700, k
10:23:47:600, k
10:23:54:600, k
10:24:09:500, k
10:24:13:100, j
10:27:01:400, j
10:28:18:500, j
10:29:10:100, k
10:29:15:000, k
10:29:18:900, k
10:29:33:200, j
10:29:36:300, j
10:30:12:400, k
10:34:25:700, j
10:34:27:300, j
10:34:42:800, k
10:34:45:100, j
10:34:46:500, j
10:34:47:600, j
10:34:50:500, j
10:34:52:500, j
10:35:58:500, b
10:35:59:000, k
10:36:56:500, j
10:37:36:400, k
10:38:09:800, k
10:38:47:900, k
10:39:15:900, k
10:39:44:200, b
10:39:44:700, k
10:40:00:600, b
10:40:01:400, k
10:40:05:600, b
10:40:06:400, k
10:40:12:300, k
10:40:35:600, k
10:40:46:700, k
10:44:16:300, j
10:44:17:900, j
10:44:32:900, j
10:45:40:600, b
10:45:41:000, k
10:49:33:800, b
10:49:34:200, j
10:50:05:900, j
10:51:15:700, k
10:52:01:800, k
10:54:00:000, k
10:55:17:200, j
10:55:54:400, j
10:55:57:200, j
10:56:00:400, j
10:56:02:300, j
10:56:04:200, j
10:58:11:800, k
10:58:17:200, k
10:58:20:600, j
10:59:45:200, j
11:02:37:000, k
11:02:44:700, j
11:02:48:200, j
11:02:52:900, k
11:05:07:200, j
11:07:43:700, k
11:07:58:200, j
11:09:24:500, k
11:09:52:200, k
11:12:11:700, k
11:12:47:800, k
11:15:54:500, k
11:17:02:800, j
11:20:11:300, j
11:20:32:500, j
11:22:26:500, k
11:22:37:700, k
11:22:42:300, j
11:22:54:000, k
11:22:59:500, k
11:23:03:700, j
11:23:59:900, b
11:24:00:300, k
11:24:02:900, b
11:24:03:300, j
11:24:43:200, b
11:24:43:600, j
11:25:05:300, j
11:25:28:700, k
11:26:27:400, k
11:26:30:800, j
11:27:13:400, k
11:34:45:500, j
11:36:17:300, k
11:36:21:400, j
11:37:31:100, k
11:38:47:700, j
11:41:08:200, j
11:41:20:800, j
11:41:30:100, j
11:41:31:100, j
11:41:32:700, j
11:43:04:200, k
11:43:28:300, b
11:43:28:800, k
11:44:16:500, k
11:48:43:000, k
11:48:50:800, k
11:52:38:300, k
11:53:42:100, k
11:53:47:000, j
11:54:14:500, k
11:54:19:600, k
11:54:21:700, j
11:54:23:800, k
11:54:34:400, k
11:54:39:800, j
11:54:42:800, j
11:54:50:000, j
11:55:58:000, b
11:55:58:800, k
11:56:06:400, b
11:56:07:200, k
11:57:08:100, k
11:57:22:000, j
11:59:38:200, j
12:00:48:600, j
12:02:11:500, k
12:02:57:500, j
12:05:19:500, j
12:06:16:200, j
12:06:29:300, k
12:06:33:200, k
12:06:37:700, k
12:07:56:200, j
12:11:12:500, j
12:11:44:300, j
12:12:25:100, k
12:16:10:400, b
12:16:10:700, l
12:16:12:700, b
12:16:13:000, l
12:16:16:900, l
12:16:20:200, b
12:16:20:600, l
12:17:03:100, k
12:17:19:400, j
12:17:30:300, j
12:17:32:200, b
12:17:32:600, l
12:17:44:300, k
12:17:46:800, j
12:18:55:600, j
12:19:07:200, k
12:19:13:200, k
12:19:16:500, k
12:19:30:400, j
12:19:50:100, k
12:19:53:700, j
12:19:59:800, b
12:20:00:300, j
12:20:42:000, k
12:22:33:500, k
12:23:21:400, b
12:23:21:900, k
12:24:29:900, j
12:25:51:900, k
12:27:30:800, k
12:29:38:000, j
12:34:10:000, b
12:34:10:700, j
12:34:50:400, k
12:34:55:400, j
12:34:58:700, j
12:35:15:200, k
12:35:33:300, k
12:35:43:700, k
12:36:01:400, j
12:36:03:000, j
12:36:04:100, j
12:36:11:400, j
12:36:13:600, b
12:36:14:100, j
12:36:27:600, j
12:36:31:500, j
12:36:43:400, j
12:36:46:500, k
12:37:15:400, k
12:37:19:700, k
12:37:23:800, k
12:38:22:700, k
12:40:31:500, j
12:41:34:700, k
12:43:35:000, j
12:44:16:100, j
12:45:48:300, a
12:47:00:000, b
12:47:00:800, k
12:47:27:700, k
12:47:38:100, k
12:50:16:900, k
12:50:21:700, k
12:50:24:200, j
12:50:25:100, j
12:50:26:800, j
12:50:40:600, k
12:50:47:100, j
12:51:41:300, b
12:51:41:700, k
12:51:59:700, b
12:52:00:300, j
12:53:29:500, j
12:53:36:600, j
12:54:17:700, j
12:55:36:500, k
12:57:54:500, b
12:57:54:800, j
13:00:16:700, b
13:00:17:000, j
13:01:07:700, j
13:02:26:800, j
13:02:44:800, k
13:05:55:000, k
13:05:57:900, j
13:06:02:700, j
13:06:04:300, j
13:07:19:800, k
13:08:02:400, j
13:09:01:200, j
13:09:05:100, j
13:09:08:800, j
13:09:48:700, l
13:09:48:800, l
13:09:51:000, j
13:09:53:800, j
13:10:47:900, j
13:10:54:700, k
13:13:19:200, j
13:13:48:900, j
13:16:10:500, k
13:17:34:900, k
13:17:41:400, k
13:17:46:800, j
13:19:25:000, j
13:21:05:100, k
13:21:11:900, k
13:21:20:700, l
13:22:50:300, k
13:28:02:500, j
13:28:06:500, k
13:28:10:200, j
13:28:13:500, j
13:28:15:800, j
13:28:17:700, j
13:28:20:900, k
13:28:24:200, j
13:28:30:500, k
13:28:46:700, b
13:28:47:600, k
13:29:50:100, k
13:29:54:900, k
13:29:58:300, k
13:30:36:200, b
13:30:36:600, l
13:30:44:700, j
13:30:49:900, j
13:31:08:500, j
13:32:58:600, k
13:33:02:900, k
13:33:08:900, k
13:33:15:400, k
13:33:18:600, j
13:33:23:700, k
13:33:26:600, k
13:34:57:900, k
13:36:13:000, k
13:37:45:600, j
13:38:01:300, j
13:39:27:400, k
13:39:38:500, k
13:40:07:300, j
13:40:20:900, j
13:40:39:500, k
13:42:27:300, j
13:42:47:700, j
13:43:53:900, b
13:43:54:400, k
13:45:07:500, j
13:45:12:800, j
13:45:30:000, j
13:47:07:200, j
13:47:42:100, k
13:47:44:600, j
13:47:48:400, k
13:49:00:300, t
13:50:44:000, k
13:50:47:700, j
13:53:42:800, k
13:53:47:200, j
13:56:17:900, k
13:57:58:700, j
13:59:37:000, k
13:59:43:000, k
13:59:48:000, k
14:02:20:900, j
14:02:23:600, l
14:02:25:700, j
14:02:58:700, b
14:02:59:100, j
14:03:19:300, b
14:03:20:100, k
14:03:30:000, k
14:03:38:800, b
14:03:39:300, k
14:03:42:200, j
14:04:11:900, j
14:05:02:000, k
14:05:30:700, j
14:05:47:500, k
14:06:46:000, j
14:11:42:600, k
14:11:50:800, b
14:11:51:300, k
14:15:44:300, j
14:16:32:100, j
14:16:33:900, j
14:17:58:700, l
14:17:59:600, l
14:18:11:800, k
14:18:15:500, k
14:20:24:700, b
14:20:25:200, l
14:20:25:400, b
14:20:25:700, l
14:21:26:300, j
14:22:28:800, k
14:23:51:300, k
14:24:55:800, k
14:24:58:700, k
14:26:33:400, j
14:27:42:700, j
14:28:54:500, k
14:29:00:000, k
14:35:47:800, k
14:35:54:500, k
14:38:19:600, b
14:38:20:000, j
14:38:48:500, b
14:38:48:900, j
14:38:49:800, b
14:38:50:200, j
14:38:51:400, b
14:38:51:800, j
14:38:57:200, b
14:38:57:500, j
14:38:59:300, j
14:39:02:500, j
14:40:32:300, j
14:41:20:100, k
14:41:25:600, k
14:41:39:000, k
14:43:45:500, j
14:44:45:500, k
14:46:39:700, k
14:47:00:200, k
14:47:49:400, k
14:47:51:900, j
14:48:38:700, k
14:51:58:500, j
14:53:27:000, b
14:53:27:400, j
14:53:39:700, j
14:53:50:800, j
14:54:15:400, j
14:54:50:500, k
14:55:15:100, j
14:55:17:400, j
14:55:18:600, j
14:55:49:000, k
14:55:56:700, k
14:55:58:600, j
14:56:19:000, k
14:56:52:600, k
14:57:00:900, j
14:58:54:700, j
14:59:26:800, j
15:01:25:900, k
15:02:04:700, k
15:02:08:300, k
15:02:17:400, k
15:02:45:700, k
15:02:52:100, j
15:02:57:400, j
15:06:05:800, b
15:06:06:300, j
15:07:07:700, k
15:07:55:000, l
15:10:15:400, k
15:10:18:100, j
15:10:19:500, j
15:11:29:500, k
15:12:13:600, k
15:12:18:000, j
15:12:41:200, k
15:15:27:200, j
15:16:08:800, k
15:16:33:100, b
15:16:33:500, k
15:17:13:800, k
15:18:54:800, j
15:19:41:600, j
15:23:43:000, k
15:24:00:800, b
15:24:01:400, k
15:24:04:800, j
15:26:40:600, j
15:27:18:900, j
15:27:22:900, j
15:28:39:100, k
15:29:55:600, j
15:31:08:400, j
15:31:13:200, j
15:31:14:400, j
15:34:07:700, b
15:34:08:200, k
15:35:10:400, b
15:35:11:000, k
15:35:25:100, j
15:36:03:900, k
15:37:27:800, k
15:37:58:200, b
15:37:58:800, k
15:39:00:800, b
15:39:01:300, k
15:39:43:600, k
15:43:43:900, b
15:43:44:400, j
15:44:51:700, k
15:44:57:400, j
15:45:07:000, k
15:45:10:700, k
15:45:24:000, k
15:45:26:700, j
15:45:28:800, j
15:47:01:300, j
15:47:32:000, k
15:48:40:500, k
15:49:04:400, j
15:50:56:300, k
15:51:17:300, b
15:51:17:800, k
15:53:54:400, j
15:55:00:300, j
15:55:29:600, k
15:57:59:500, k
15:59:56:300, b
15:59:56:800, j
16:05:32:200, k
16:06:30:700, j
16:07:00:400, j
16:08:04:400, k
16:09:57:800, j
16:13:53:700, k
16:14:37:200, k
16:17:29:200, j
16:17:46:300, j
16:18:00:500, j
16:19:19:700, k
16:22:41:200, j
16:22:46:000, j
16:23:24:400, j
16:23:33:000, j
16:23:44:000, j
16:23:59:300, j
16:24:51:500, j
16:24:54:100, j
16:26:10:000, j
16:26:15:000, j
16:26:39:700, k
16:26:45:000, k
16:26:55:200, k
16:31:27:300, j
16:31:41:600, j
16:32:27:000, j
16:33:49:000, b
16:33:49:500, k
16:34:32:400, b
16:34:32:800, j
16:34:34:500, j
16:35:43:700, k
16:35:48:000, k
16:36:14:700, j
16:38:11:500, b
16:38:12:000, k
16:39:37:300, j
16:39:39:200, j
16:40:43:600, k
16:41:59:100, k
16:48:05:700, k
16:49:53:000, k
16:49:58:000, k
16:51:13:000, b
16:51:13:400, j
16:51:28:300, j
16:52:22:300, j
16:54:15:700, b
16:54:16:200, k
16:54:30:900, k
16:54:36:500, k
16:54:39:300, j
16:54:45:800, j
16:54:56:300, k
17:01:07:500, j
17:01:12:000, j
17:01:37:800, j
17:01:38:700, b
17:01:39:100, j
17:01:39:700, b
17:01:40:100, j
17:02:29:400, k
17:02:48:700, j
17:03:33:600, j
17:04:06:700, j
17:04:31:800, k
17:12:49:300, j
17:12:53:500, j
17:13:24:000, j
17:14:08:700, k
17:14:14:100, k
17:15:52:900, j
17:15:55:700, j
17:15:57:600, j
17:16:25:200, k
17:16:34:300, k
17:17:12:700, k
17:17:43:800, k
17:17:48:100, k
17:18:42:100, k
17:18:57:800, j
17:20:13:900, k
17:20:17:600, j
17:20:20:600, j
17:22:07:500, j
17:22:26:400, b
17:22:26:900, j
17:22:41:100, b
17:22:41:700, k
17:22:55:400, b
17:22:55:900, j
17:23:19:200, b
17:23:19:800, j
17:23:26:800, j
17:24:53:400, j
17:26:12:200, k
17:26:35:800, j
17:27:09:900, j
17:27:47:000, j
17:27:52:200, e
