"07/31/25 17:04:46","I-70_Thu_July_31_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/31/2025   10:00:00 AM","7/31/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","36","2.4","65.6","74.0","0","13","4","19","--","--","--","--","25.0","24.4","07/31/25 10:00:00","900","0","0","0","0","0","0","0","2","8","10","4","8","3","1","0","36","0"
"LANE_02","15","0.6","70.5","82.0","0","6","6","3","--","--","--","--","60.0","59.6","07/31/25 10:00:00","900","0","0","1","0","0","0","1","0","0","0","3","3","7","0","0","15","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 10:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","36","1.8","67.9","79.3","0","13","9","14","--","--","--","--","25.0","24.6","07/31/25 10:15:00","900","0","0","0","0","0","0","2","4","3","5","4","4","13","1","0","36","0"
"LANE_02","16","0.5","80.5","86.0","0","11","4","1","--","--","--","--","56.3","56.0","07/31/25 10:15:00","900","0","0","0","0","0","0","0","0","0","0","1","2","10","3","0","16","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 10:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","39","1.7","73.9","82.0","0","17","8","14","--","--","--","--","23.1","22.7","07/31/25 10:30:00","900","0","0","0","0","0","0","1","1","1","4","5","8","15","4","0","39","0"
"LANE_02","15","0.3","80.2","88.0","0","10","5","0","--","--","--","--","60.0","59.8","07/31/25 10:30:00","900","0","0","0","0","0","0","0","0","0","0","1","2","7","4","1","15","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 10:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","44","2.2","70.6","78.3","0","22","6","16","--","--","--","--","20.5","20.0","07/31/25 10:45:00","900","0","0","0","0","0","0","1","1","4","2","14","9","11","2","0","44","0"
"LANE_02","20","1.2","78.7","85.5","0","12","4","4","--","--","--","--","45.0","44.5","07/31/25 10:45:00","900","0","0","0","0","0","0","0","0","0","2","0","4","10","4","0","20","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 10:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","35","1.8","70.8","77.0","0","12","10","13","--","--","--","--","25.7","25.3","07/31/25 11:00:00","900","0","0","0","0","0","0","0","1","2","5","7","10","8","2","0","35","0"
"LANE_02","19","0.6","75.3","84.0","0","7","9","3","--","--","--","--","47.4","47.1","07/31/25 11:00:00","900","0","0","0","0","0","0","0","0","0","2","5","3","6","2","1","19","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 11:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","43","2.5","70.7","84.0","0","15","10","18","--","--","--","--","20.9","20.4","07/31/25 11:15:00","900","0","0","0","0","0","0","1","0","5","10","5","9","8","3","2","43","0"
"LANE_02","12","0.4","73.6","80.0","0","4","7","1","--","--","--","--","75.0","74.7","07/31/25 11:15:00","900","0","0","0","0","0","0","0","0","0","2","1","4","5","0","0","12","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 11:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","46","2.9","67.6","76.0","0","17","4","25","--","--","--","--","19.6","19.0","07/31/25 11:30:00","900","0","0","0","0","0","0","2","1","5","9","12","9","6","1","1","46","0"
"LANE_02","27","1.0","73.7","80.7","0","12","9","6","--","--","--","--","33.3","33.0","07/31/25 11:30:00","900","0","0","0","0","0","0","0","0","2","3","3","5","12","2","0","27","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 11:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","45","2.5","66.7","79.0","0","19","8","18","--","--","--","--","20.0","19.5","07/31/25 11:45:00","900","0","0","1","0","0","0","4","4","4","5","5","10","10","1","1","45","0"
"LANE_02","16","0.6","75.8","86.0","0","7","4","5","--","--","--","--","56.3","55.9","07/31/25 11:45:00","900","0","0","0","0","0","1","0","0","0","3","1","3","4","3","1","16","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 11:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","46","2.2","69.9","79.5","0","26","5","15","--","--","--","--","19.6","19.1","07/31/25 12:00:00","900","0","0","0","0","0","0","0","1","6","8","8","7","13","2","1","46","0"
"LANE_02","23","0.6","75.8","90.5","0","16","7","0","--","--","--","--","39.1","38.9","07/31/25 12:00:00","900","0","0","0","0","0","0","0","1","1","1","2","6","8","0","4","23","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 12:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","33","2.0","70.0","77.0","0","11","10","12","--","--","--","--","27.3","26.7","07/31/25 12:15:00","900","0","0","0","0","0","0","0","3","2","3","8","10","6","0","1","33","0"
"LANE_02","14","0.6","78.5","87.5","0","6","6","2","--","--","--","--","64.3","63.9","07/31/25 12:15:00","900","0","0","0","0","0","0","0","1","0","0","1","1","6","5","0","14","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 12:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","47","2.1","74.1","84.5","0","21","12","14","--","--","--","--","19.2","18.7","07/31/25 12:30:00","900","0","0","0","0","0","0","0","0","2","8","9","10","12","3","3","47","0"
"LANE_02","10","0.3","77.5","88.0","0","5","5","0","--","--","--","--","90.0","89.8","07/31/25 12:30:00","900","0","0","0","0","0","0","0","0","1","0","1","1","5","2","0","10","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 12:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","38","1.7","74.0","82.0","0","19","5","14","--","--","--","--","23.7","23.3","07/31/25 12:45:00","900","0","0","0","0","0","0","0","0","2","2","10","7","16","1","0","38","0"
"LANE_02","11","0.4","83.1","89.0","0","5","4","2","--","--","--","--","81.8","81.5","07/31/25 12:45:00","900","0","0","0","0","0","0","0","0","0","0","0","4","3","2","2","11","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 12:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","44","2.6","68.7","81.0","0","20","6","18","--","--","--","--","20.5","19.9","07/31/25 13:00:00","900","0","0","0","0","1","2","3","2","3","2","5","14","10","1","1","44","0"
"LANE_02","16","0.4","76.4","84.0","0","10","6","0","--","--","--","--","56.3","56.0","07/31/25 13:00:00","900","0","0","0","0","0","0","0","0","0","2","0","5","7","1","1","16","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 13:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","41","2.4","67.9","79.5","0","18","7","16","--","--","--","--","22.0","21.4","07/31/25 13:15:00","900","0","0","1","0","0","1","0","4","2","3","11","9","8","2","0","41","0"
"LANE_02","24","0.8","75.3","88.0","0","12","9","3","--","--","--","--","37.5","37.2","07/31/25 13:15:00","900","0","0","0","0","0","0","0","0","1","1","4","8","5","4","1","24","0"
"LANE_03","1","0.1","58.2","59.0","0","0","0","1","--","--","--","--","900.1","899.5","07/31/25 13:15:00","900","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"

"LANE_01","48","2.3","70.1","78.0","0","18","15","15","--","--","--","--","18.8","18.3","07/31/25 13:30:00","900","0","0","0","0","0","0","0","1","4","5","14","12","10","2","0","48","0"
"LANE_02","21","0.9","73.5","81.5","0","13","3","5","--","--","--","--","42.9","42.5","07/31/25 13:30:00","900","0","0","0","0","0","0","0","0","0","1","6","7","7","0","0","21","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 13:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","56","3.3","70.9","83.0","0","19","9","28","--","--","--","--","16.1","15.5","07/31/25 13:45:00","900","0","0","0","0","0","0","1","1","5","10","9","9","18","3","0","56","0"
"LANE_02","13","0.4","76.1","80.5","0","6","5","2","--","--","--","--","69.2","69.0","07/31/25 13:45:00","900","0","0","0","0","0","0","0","0","0","0","1","4","8","0","0","13","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 13:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","45","2.3","67.8","78.0","0","22","5","18","--","--","--","--","20.0","19.6","07/31/25 14:00:00","900","0","0","0","0","0","2","1","2","7","4","6","11","11","1","0","45","0"
"LANE_02","19","0.5","77.9","84.0","0","12","5","2","--","--","--","--","47.4","47.1","07/31/25 14:00:00","900","0","0","0","0","0","0","0","0","0","1","2","4","9","2","1","19","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 14:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","45","2.6","67.6","76.0","0","19","6","20","--","--","--","--","20.0","19.5","07/31/25 14:15:00","900","0","0","0","0","0","0","1","2","7","5","14","7","6","3","0","45","0"
"LANE_02","17","0.6","77.1","82.7","0","12","3","2","--","--","--","--","52.9","52.6","07/31/25 14:15:00","900","0","0","0","0","0","0","0","0","0","0","4","2","9","2","0","17","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 14:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","52","2.9","70.3","80.0","0","23","8","21","--","--","--","--","17.3","16.8","07/31/25 14:30:00","900","0","0","0","0","0","1","0","2","7","5","9","11","15","1","1","52","0"
"LANE_02","21","0.6","76.4","84.0","0","14","4","3","--","--","--","--","42.9","42.6","07/31/25 14:30:00","900","0","0","0","0","0","0","0","0","0","1","3","2","15","0","0","21","0"
"LANE_03","1","0.0","58.2","59.0","0","1","0","0","--","--","--","--","900.1","899.8","07/31/25 14:30:00","900","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"

"LANE_01","38","1.9","68.0","77.5","0","16","9","13","--","--","--","--","23.7","23.2","07/31/25 14:45:00","900","0","0","0","0","0","0","2","0","5","7","8","7","9","0","0","38","0"
"LANE_02","23","0.5","77.8","84.0","0","17","6","0","--","--","--","--","39.1","38.9","07/31/25 14:45:00","900","0","0","0","0","0","0","0","0","0","1","1","7","12","1","1","23","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 14:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","42","2.0","69.9","79.0","0","18","9","15","--","--","--","--","21.4","21.0","07/31/25 15:00:00","900","0","0","0","0","0","0","1","1","3","7","10","9","8","3","0","42","0"
"LANE_02","18","0.5","77.0","84.0","0","13","4","1","--","--","--","--","50.0","49.8","07/31/25 15:00:00","900","0","0","0","0","0","0","0","0","0","2","1","5","7","2","1","18","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 15:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","49","2.9","66.4","79.0","0","20","10","19","--","--","--","--","18.4","17.8","07/31/25 15:15:00","900","0","1","0","0","0","2","0","3","7","5","17","4","6","3","1","49","0"
"LANE_02","22","0.6","74.9","79.8","0","17","4","1","--","--","--","--","40.9","40.7","07/31/25 15:15:00","900","0","0","0","0","0","0","0","0","1","2","1","5","11","2","0","22","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 15:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","41","2.1","71.1","79.0","0","17","9","15","--","--","--","--","22.0","21.5","07/31/25 15:30:00","900","0","0","0","0","0","0","0","1","5","7","7","10","6","2","3","41","0"
"LANE_02","9","0.2","74.2","83.0","0","7","1","1","--","--","--","--","100.0","99.8","07/31/25 15:30:00","900","0","0","0","0","0","0","0","0","0","0","2","4","3","0","0","9","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 15:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","47","2.2","68.6","80.7","0","24","12","11","--","--","--","--","19.2","18.7","07/31/25 15:45:00","900","0","0","0","0","0","2","1","1","7","8","7","6","12","2","1","47","0"
"LANE_02","10","0.3","78.6","85.0","0","7","2","1","--","--","--","--","90.0","89.8","07/31/25 15:45:00","900","0","0","0","0","0","0","0","0","0","0","2","0","7","1","0","10","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 15:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","31","1.7","66.8","79.5","0","12","7","12","--","--","--","--","29.0","28.5","07/31/25 16:00:00","900","0","0","0","0","0","1","3","1","5","2","6","5","6","1","1","31","0"
"LANE_02","11","0.3","74.5","83.0","0","8","2","1","--","--","--","--","81.8","81.6","07/31/25 16:00:00","900","0","0","0","0","0","0","0","0","0","1","2","4","3","1","0","11","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 16:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","38","1.7","67.4","77.0","0","18","9","11","--","--","--","--","23.7","23.3","07/31/25 16:15:00","900","0","0","0","0","1","0","1","1","5","6","8","8","6","2","0","38","0"
"LANE_02","9","0.3","83.5","89.0","0","7","1","1","--","--","--","--","100.0","99.7","07/31/25 16:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","9","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 16:15:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","30","1.7","70.4","81.0","0","13","6","11","--","--","--","--","30.0","29.5","07/31/25 16:30:00","900","0","0","0","0","1","0","2","0","2","3","4","8","7","2","1","30","0"
"LANE_02","6","0.1","78.2","82.0","0","3","3","0","--","--","--","--","150.0","149.8","07/31/25 16:30:00","900","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","6","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 16:30:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","40","1.9","70.0","82.5","0","17","9","14","--","--","--","--","22.5","22.1","07/31/25 16:45:00","900","0","0","0","0","0","1","1","3","2","3","9","9","9","3","0","40","0"
"LANE_02","13","0.4","77.3","90.0","0","8","3","2","--","--","--","--","69.2","69.0","07/31/25 16:45:00","900","0","0","0","0","0","0","0","1","0","0","2","3","4","1","2","13","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 16:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"LANE_01","37","1.5","70.7","82.5","0","19","11","7","--","--","--","--","24.3","24.0","07/31/25 17:00:00","900","0","0","0","0","0","0","1","1","2","7","7","8","8","2","1","37","0"
"LANE_02","16","0.4","79.3","87.0","0","11","3","2","--","--","--","--","56.3","56.0","07/31/25 17:00:00","900","0","0","0","0","0","0","0","0","0","1","1","3","6","4","1","16","0"
"LANE_03","0","0.0","0.0","0.0","0","0","0","0","--","--","--","--","0.0","0.0","07/31/25 17:00:00","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

Total Bins:  29
